Resistance-Type;Gene	DSgene	Sample	Abundance

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR2638365	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR11844784	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR8797414	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR8512245	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR9644741	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR11614986	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR9644742	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	ERR4388077	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	ERR3281026	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR10992210	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR3546450	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	ERR3281040	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	ERR3281022	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR2090174	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR4388699	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR11844739	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	ERR4388080	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	ERR3281021	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	ERR3281041	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR3546456	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	ERR3281025	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR12918151	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR2090169	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR6208705	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	ERR3281038	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR8797413	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR2638370	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR2638363	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	ERR3281039	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR6209370	0

Macrolide Resistance;vga(A)	 vga(A)LC_1_GQ891882	SRR11600163	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR12666050	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR2638368	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281031	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR2090164	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR3546451	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR3546457	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR12926096	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281037	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR11600161	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR7912025	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281023	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR2638364	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281036	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281032	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281030	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR10992209	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR8512247	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281024	1

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR11600162	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR6213089	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281027	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR2638369	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR6231011	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR13554778	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR3546449	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR8797411	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR3546452	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR8512248	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR4389122	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR8797412	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281034	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281035	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR13554775	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281029	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR11844737	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR13662870	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR12918152	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR6213885	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR2638367	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR4389352	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR8512250	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR11844785	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR9644739	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR2191546	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR9644740	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR8512251	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR3546453	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR10419845	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR2090170	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR13554773	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281033	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR2638366	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR11844738	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR11844740	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR8512249	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR11614988	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR3546454	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR2090166	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR6213120	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR6212576	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR8512246	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR6211631	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281028	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR11844736	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR2638365	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR11844784	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR8797414	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR8512245	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR9644741	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR11614986	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR9644742	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR4388077	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281026	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR10992210	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR3546450	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281040	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281022	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR2090174	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR4388699	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR11844739	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR4388080	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281021	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281041	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR3546456	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281025	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR12918151	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR2090169	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR6208705	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281038	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR8797413	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR2638370	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR2638363	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	ERR3281039	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR6209370	0

Macrolide Resistance;lnu(B)	 lnu(B)_1_AJ238249	SRR11600163	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR12666050	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR2638368	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281031	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR2090164	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR3546451	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR3546457	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR12926096	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281037	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR11600161	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR7912025	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281023	11

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR2638364	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281036	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281032	1

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281030	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR10992209	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR8512247	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281024	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR11600162	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR6213089	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281027	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR2638369	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR6231011	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR13554778	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR3546449	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR8797411	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR3546452	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR8512248	1

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR4389122	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR8797412	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281034	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281035	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR13554775	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281029	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR11844737	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR13662870	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR12918152	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR6213885	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR2638367	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR4389352	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR8512250	1

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR11844785	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR9644739	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR2191546	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR9644740	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR8512251	3

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR3546453	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR10419845	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR2090170	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR13554773	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281033	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR2638366	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR11844738	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR11844740	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR8512249	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR11614988	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR3546454	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR2090166	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR6213120	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR6212576	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR8512246	1

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR6211631	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281028	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR11844736	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR2638365	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR11844784	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR8797414	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR8512245	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR9644741	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR11614986	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR9644742	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR4388077	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281026	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR10992210	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR3546450	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281040	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281022	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR2090174	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR4388699	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR11844739	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR4388080	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281021	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281041	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR3546456	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281025	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR12918151	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR2090169	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR6208705	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281038	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR8797413	1

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR2638370	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR2638363	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	ERR3281039	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR6209370	0

Tetracycline Resistance;tet(S)	 tet(S)_1_DQ377340	SRR11600163	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR12666050	1

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR12666050	1

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR2638368	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR2638368	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281031	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281031	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR2090164	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR2090164	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR3546451	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR3546451	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR3546457	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR3546457	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR12926096	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR12926096	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281037	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281037	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR11600161	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR11600161	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR7912025	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR7912025	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281023	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281023	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR2638364	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR2638364	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281036	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281036	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281032	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281032	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281030	1

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281030	1

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR10992209	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR10992209	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR8512247	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR8512247	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281024	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281024	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR11600162	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR11600162	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR6213089	55

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR6213089	55

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281027	1

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281027	1

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR2638369	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR2638369	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR6231011	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR6231011	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR13554778	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR13554778	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR3546449	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR3546449	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR8797411	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR8797411	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR3546452	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR3546452	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR8512248	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR8512248	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR4389122	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR4389122	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR8797412	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR8797412	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281034	1

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281034	1

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281035	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281035	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR13554775	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR13554775	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281029	1

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR3281029	1

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR11844737	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR11844737	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR13662870	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR13662870	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR12918152	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR12918152	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR6213885	133

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR6213885	133

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR2638367	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR2638367	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR4389352	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR4389352	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR8512250	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR8512250	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR11844785	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR11844785	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR9644739	2

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR9644739	2

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR2191546	49

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	ERR2191546	49

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR9644740	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR9644740	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR8512251	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR8512251	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR3546453	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR3546453	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR10419845	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR10419845	0

Aminoglycoside Resistance;aph(3')	 aph(3')-Ia_4_AF498082	SRR2090170	1

